headline,article_link,is_sarcastic,date
"Naomi Osaka, the Most Thrilling Athlete of Her Generation, Wins the Australian Open",https://www.newyorker.com//sports/sporting-scene/naomi-osaka-the-most-thrilling-athlete-of-her-generation-wins-the-australian-open,1,"February 20, 2021"
Haitians Are at an Impasse Over the Country’s Future,https://www.newyorker.com//news/news-desk/haitians-are-at-an-impasse-over-the-countrys-future,1,"February 19, 2021"
"After Dark, Citizens and Myanmar’s Junta Face Off Across Ghostly Front Lines",https://www.newyorker.com//news/news-desk/after-dark-citizens-and-myanmars-junta-face-off-across-ghostly-front-lines,1,"February 19, 2021"
Naomi Osaka’s Win Against Serena Williams Felt Like a Passing of the Torch,https://www.newyorker.com//sports/sporting-scene/naomi-osakas-win-against-serena-williams-felt-like-a-passing-of-the-torch,1,"February 18, 2021"
Can Biden Reverse Trump’s Damage to Latin America?,https://www.newyorker.com//news/news-desk/can-biden-reverse-trumps-lasting-damage-in-latin-america,1,"February 11, 2021"
The Russian Tennis Player Who Kept Winning While No One Was Watching,https://www.newyorker.com//sports/sporting-scene/the-russian-tennis-player-who-kept-winning-while-no-one-was-watching,1,"February 10, 2021"
"The Story on Sunday Was Tom Brady, but the Super Bowl Was Won with Defense",https://www.newyorker.com//sports/sporting-scene/the-story-on-sunday-was-tom-brady-but-the-super-bowl-was-won-with-defense,1,"February 8, 2021"
Can a Country Control the Virus and Host a Grand Slam? Australia Is Trying,https://www.newyorker.com//sports/sporting-scene/can-a-country-control-the-virus-and-host-a-grand-slam-australia-is-trying,1,"February 7, 2021"
A Pennsylvania Mother’s Path to Insurrection,https://www.newyorker.com//news/news-desk/a-pennsylvania-mothers-path-to-insurrection-capitol-riot,1,"February 1, 2021"
The Takedown of a Dark-Web Marketplace,https://www.newyorker.com//news/news-desk/the-takedown-of-a-dark-web-marketplace,1,"January 23, 2021"
Andrew Yang’s Ideas on Universal Basic Income Earned Him Fans. But Can He Win Votes?,https://www.newyorker.com//news/our-local-correspondents/andrew-yangs-ideas-on-universal-basic-income-earned-him-fans-but-can-he-win-votes,1,"January 23, 2021"
The Brooklyn Nets Are an Experiment Within an Experiment,https://www.newyorker.com//sports/sporting-scene/the-brooklyn-nets-are-an-experiment-within-an-experiment,1,"January 16, 2021"
A Former Marine Stormed the Capitol as Part of a Far-Right Militia,https://www.newyorker.com//news/news-desk/a-former-marine-stormed-the-capitol-as-part-of-a-far-right-militia,1,"January 14, 2021"
Omar Ameen’s Cell-Phone Records Reveal That He Was Framed,https://www.newyorker.com//news/news-desk/omar-ameens-cell-phone-records-reveal-that-he-was-framed,1,"January 13, 2021"
An Air Force Combat Veteran Breached the Senate,https://www.newyorker.com//news/news-desk/an-air-force-combat-veteran-breached-the-senate,1,"January 8, 2021"
Inside the U.S. Army’s Warehouse Full of Nazi Art,https://www.newyorker.com//news/news-desk/inside-the-us-armys-warehouse-full-of-nazi-art,1,"January 4, 2021"
Can Boosting Child and Elder Care Help Democrats Win Control of the Senate?,https://www.newyorker.com//news/campaign-chronicles/can-boosting-child-and-elder-care-help-democrats-win-control-of-the-senate,1,"January 3, 2021"
Deconstructing the 2020 Latino Vote,https://www.newyorker.com//news/news-desk/deconstructing-the-2020-latino-vote,1,"December 31, 2020"
The Year of the Cardboard Sports Fan,https://www.newyorker.com//culture/2020-in-review/the-year-of-the-cardboard-sports-fan,1,"December 22, 2020"
The Veterans Organizing to Stop Trumpism,https://www.newyorker.com//news/news-desk/the-veterans-organizing-to-stop-trumpism,1,"December 18, 2020"
"Fighting COVID-19 in the Amazon, with Herbs and the Internet",https://www.newyorker.com//news/news-desk/fighting-covid-19-in-the-amazon-with-herbs-and-the-internet,1,"December 11, 2020"
Dianne Feinstein’s Missteps Raise a Painful Age Question Among Senate Democrats,https://www.newyorker.com//news/news-desk/dianne-feinsteins-missteps-raise-a-painful-age-question-among-senate-democrats,1,"December 9, 2020"
Mike Tyson and Roy Jones: When Is a Fight Not a Fight?,https://www.newyorker.com//sports/sporting-scene/mike-tyson-and-roy-jones-when-is-a-fight-not-a-fight,1,"November 29, 2020"
Is College Football Making the Pandemic Worse?,https://www.newyorker.com//sports/sporting-scene/is-college-football-making-the-pandemic-worse,1,"November 25, 2020"
Why Trump Carried Out His Pentagon Purge,https://www.newyorker.com//news/our-columnists/why-trump-carried-out-his-pentagon-purge,1,"November 13, 2020"
"In a Wild World Series, Clayton Kershaw Gets to Write Another Chapter",https://www.newyorker.com//sports/sporting-scene/in-a-wild-world-series-clayton-kershaw-gets-to-write-another-chapter,1,"October 25, 2020"
"Will Steve Cohen, a Symbol of Wall Street Malfeasance, Own the New York Mets?",https://www.newyorker.com//sports/sporting-scene/will-steve-cohen-a-symbol-of-wall-street-malfeasance-own-the-new-york-mets,1,"October 25, 2020"
What Can You Do If Trump Stages a Coup?,https://www.newyorker.com//news/news-desk/what-can-you-do-if-trump-stages-a-coup,1,"October 24, 2020"
Can Latino Voters Tip Wisconsin in Biden’s Favor?,https://www.newyorker.com//news/news-desk/can-latino-voters-tip-wisconsin-in-joe-bidens-favor,1,"October 13, 2020"
The N.B.A. Bubble Was Another Sphere for LeBron James to Conquer,https://www.newyorker.com//sports/sporting-scene/the-nba-bubble-was-another-sphere-for-lebron-james-to-conquer,1,"October 12, 2020"
Rafael Nadal’s French Open Victory Over Novak Djokovic Extends Tennis’s Best Rivalry,https://www.newyorker.com//sports/sporting-scene/rafael-nadals-french-open-victory-over-novak-djokovic-extends-tenniss-best-rivalry,1,"October 11, 2020"
"Pondering Anthony Davis, the Lakers’ Oddly Enigmatic Star",https://www.newyorker.com//sports/sporting-scene/pondering-anthony-davis-the-lakers-oddly-enigmatic-star,1,"October 7, 2020"
The Contested Afterlife of the Trump-Alfa Bank Story,https://www.newyorker.com//news/news-desk/the-contested-afterlife-of-the-trump-alfa-bank-story,1,"October 7, 2020"
Could the Coronavirus Stop Amy Coney Barrett’s Supreme Court Confirmation?,https://www.newyorker.com//news/news-desk/could-the-coronavirus-stop-amy-coney-barretts-supreme-court-confirmation,1,"October 5, 2020"
The Sackler Family’s Plan to Keep Its Billions,https://www.newyorker.com//news/news-desk/the-sackler-familys-plan-to-keep-its-billions,1,"October 4, 2020"
"The President Tests Positive for the Coronavirus, and a Nation Anticipates Chaos",https://www.newyorker.com//news/news-desk/donald-trump-tests-positive-for-the-coronavirus-and-a-nation-anticipates-chaos,1,"October 2, 2020"
The Secret History of Kimberly Guilfoyle’s Departure from Fox,https://www.newyorker.com//news/news-desk/the-secret-history-of-kimberly-guilfoyles-departure-from-fox,1,"October 1, 2020"
Chinese Citizens Are Already Receiving a Coronavirus Vaccine,https://www.newyorker.com//news/news-desk/the-november-surprise-of-chinas-coronavirus-vaccine,1,"September 29, 2020"
"Jamal Murray and Nikola Jokic, Basketball’s Best Buddy Comedy",https://www.newyorker.com//sports/sporting-scene/jamal-murray-and-nikola-jokic-basketballs-best-buddy-comedy,1,"September 26, 2020"
The FinCEN Files Shed New Light on a Scandalous Episode at Deutsche Bank,https://www.newyorker.com//news/news-desk/the-fincen-files-shed-new-light-on-a-scandalous-episode-at-deutsche-bank,1,"September 23, 2020"
Watching “Watchmen” as a Descendant of the Tulsa Race Massacre,https://www.newyorker.com//news/news-desk/watching-watchmen-as-a-descendant-of-the-tulsa-race-massacre,1,"September 20, 2020"
"For Mitch McConnell, Keeping His Senate Majority Matters More Than the Supreme Court",https://www.newyorker.com//news/news-desk/for-mitch-mcconnell-keeping-his-senate-majority-matters-more-than-the-supreme-court,1,"September 19, 2020"
Biden’s Case to Latino Voters Comes Late. Will They Listen?,https://www.newyorker.com//news/news-desk/bidens-case-to-latino-voters-comes-late-will-they-listen,1,"September 16, 2020"
"Without Fans, the Drama of the U.S. Open Came from Within",https://www.newyorker.com//sports/sporting-scene/without-fans-the-drama-of-the-us-open-came-from-within,1,"September 14, 2020"
"Naomi Osaka Adjusts, and Wins One of the Best U.S. Open Finals in Years",https://www.newyorker.com//sports/sporting-scene/naomi-osaka-adjusts-and-wins-one-of-the-best-us-open-finals-in-years,1,"September 13, 2020"
The N.F.L.’s Discordant Return,https://www.newyorker.com//sports/sporting-scene/the-nfls-discordant-return,1,"September 12, 2020"
Is the N.B.A. Still LeBron James’s League?,https://www.newyorker.com//sports/sporting-scene/is-the-nba-still-lebron-james-league,1,"September 4, 2020"
The Inevitable Tragedy of a Summer on Edge in Portland,https://www.newyorker.com//news/news-desk/the-inevitable-tragedy-of-a-summer-on-edge-in-portland,1,"September 1, 2020"
"How to Watch Serena Williams at the U.S. Open, Where She Has Nothing Left to Prove",https://www.newyorker.com//sports/sporting-scene/how-to-watch-serena-williams-at-the-us-open-where-she-has-nothing-left-to-prove,1,"August 30, 2020"
Investigations Provide a Window Into How Trump Does Business,https://www.newyorker.com//news/news-desk/investigations-provide-a-window-into-how-trump-does-business,1,"August 29, 2020"
"College Football’s Messy, Bumpy, Worrisome Return",https://www.newyorker.com//sports/sporting-scene/college-footballs-messy-bumpy-worrisome-return,1,"August 29, 2020"
The Exhilarating Jolt of the Milwaukee Bucks’ Wildcat Strike,https://www.newyorker.com//sports/sporting-scene/the-exhilarating-jolt-of-the-milwaukee-bucks-wildcat-strike,1,"August 27, 2020"
The Innocence and Experience of Luka Doncic and James Harden,https://www.newyorker.com//sports/sporting-scene/the-innocence-and-experience-of-luka-doncic-and-james-harden,1,"August 26, 2020"
Should You Send Your Child Back to School During the Pandemic?,https://www.newyorker.com//news/news-desk/should-you-send-your-child-back-to-school-during-the-pandemic,1,"August 26, 2020"
"As Newsrooms Close Across the Country, Remembering Why They Matter",https://www.newyorker.com//news/news-desk/as-newsrooms-close-across-the-country-remembering-why-they-matter,1,"August 14, 2020"
The Fractured World of Tennis Amid a Prolonged Pandemic,https://www.newyorker.com//sports/sporting-scene/the-fractured-world-of-tennis-amid-a-prolonged-pandemic,1,"August 13, 2020"
Teachers Across the Country Worry About a Rush to Reopen Schools,https://www.newyorker.com//news/news-desk/teachers-across-the-country-worry-about-a-rush-to-reopen-schools,1,"August 10, 2020"
When Pete Hamill Was the Editor of the New York Daily News,https://www.newyorker.com//news/news-desk/when-pete-hamill-was-the-editor-of-the-new-york-daily-news,1,"August 6, 2020"
"Nneka Ogwumike and the W.N.B.A.’s Big, Complicated Moment",https://www.newyorker.com//culture/persons-of-interest/nneka-ogwumike-and-the-wnbas-big-complicated-moment,1,"August 3, 2020"
The Uncertainties Facing New York City’s Young Essential Workers,https://www.newyorker.com//news/news-desk/the-uncertainties-facing-new-york-citys-young-essential-workers,1,"August 3, 2020"
Baseball’s Bumpy Return and the Gap Between Hope and Hubris,https://www.newyorker.com//sports/sporting-scene/baseballs-bumpy-return-and-the-gap-between-hope-and-hubris,1,"August 1, 2020"
“Equipo Trump”: The President’s Brazen Attempt to Win Over Latino Voters,https://www.newyorker.com//news/news-desk/equipo-trump-the-presidents-erratic-attempt-to-win-over-latino-voters,1,"July 31, 2020"
The Coronavirus Pandemic Has Intensified Systemic Economic Racism Against Black Americans,https://www.newyorker.com//news/news-desk/the-pandemic-has-intensified-systemic-economic-racism-against-black-americans,1,"July 30, 2020"
"After Beating Back the Coronavirus, Jamaica Prioritizes Tourism Over Public Health",https://www.newyorker.com//news/news-desk/after-beating-back-the-coronavirus-jamaica-prioritizes-tourism-over-public-health,1,"July 23, 2020"
Why Michael Bennett Is Retiring from the N.F.L.,https://www.newyorker.com//sports/sporting-scene/why-michael-bennett-is-retiring-from-the-nfl,1,"July 21, 2020"
The Stranded Babies of the Coronavirus Disaster,https://www.newyorker.com//news/news-desk/the-stranded-babies-of-the-coronavirus-disaster,1,"July 20, 2020"
Is the Saudi Government Plotting Against Another U.S.-Based Critic?,https://www.newyorker.com//news/news-desk/is-the-saudi-government-plotting-against-another-us-based-critic,1,"July 16, 2020"
The Promising Results of a Citywide Basic-Income Experiment,https://www.newyorker.com//news/news-desk/the-promising-results-of-a-citywide-basic-income-experiment,1,"July 15, 2020"
How Texas Republicans Politicized the Coronavirus Pandemic,https://www.newyorker.com//news/news-desk/how-texas-republicans-politicized-the-coronavirus-pandemic,1,"July 14, 2020"
How Jair Bolsonaro and the Coronavirus Put Brazil’s Systemic Racism on Display,https://www.newyorker.com//news/news-desk/how-jair-bolsonaro-and-the-coronavirus-put-brazils-systemic-racism-on-display,1,"July 8, 2020"
Populists Inflame the Coronavirus Outbreak Across Latin America,https://www.newyorker.com//news/news-desk/populists-inflame-the-coronavirus-outbreak-across-latin-america,1,"July 2, 2020"
The Confederate Flag Finally Falls in Mississippi,https://www.newyorker.com//news/news-desk/the-confederate-flag-finally-falls-in-mississippi,1,"July 1, 2020"
How to Defund the Police,https://www.newyorker.com//news/news-desk/how-the-police-could-be-defunded,1,"June 26, 2020"
Can the N.B.A. Exist in a Bubble?,https://www.newyorker.com//sports/sporting-scene/can-the-nba-exist-in-a-bubble,1,"June 24, 2020"
Can Domestic Abusers Keep Themselves Accountable When No One Is Watching?,https://www.newyorker.com//news/news-desk/can-domestic-abusers-keep-themselves-accountable-when-no-one-is-watching,1,"June 23, 2020"
After George Floyd and Juneteenth,https://www.newyorker.com//news/daily-comment/after-juneteenth,1,"June 20, 2020"
How Police Unions Enable and Conceal Abuses of Power,https://www.newyorker.com//news/news-desk/how-police-union-power-helped-increase-abuses,1,"June 18, 2020"
Ivanka Trump and Charles Koch Fuel a Cancel-Culture Clash at Wichita State,https://www.newyorker.com//news/news-desk/ivanka-trump-and-charles-koch-fuel-a-cancel-culture-clash-at-wichita-state,1,"June 11, 2020"
Minnesota’s Decades-Long Failure to Confront Police Abuse,https://www.newyorker.com//news/news-desk/minnesotas-decades-long-failure-to-confront-police-abuse,1,"June 10, 2020"
Georgia Betrays Its Voters Again,https://www.newyorker.com//news/news-desk/georgia-betrays-its-voters-again,1,"June 9, 2020"
The Secret Project That Led to Black Lives Matter Murals Coast to Coast,https://www.newyorker.com//news/news-desk/the-secret-project-that-led-to-black-lives-matter-murals-coast-to-coast,1,"June 9, 2020"
"The N.F.L.’s Change of Tone, and the Limits of Merely Listening",https://www.newyorker.com//sports/sporting-scene/the-nfls-change-of-tone-and-the-limits-of-merely-listening,1,"June 8, 2020"
"Hunger, Infection, and Repression: Venezuela’s Coronavirus Calamity",https://www.newyorker.com//news/news-desk/hunger-infection-and-repression-venezuelas-coronavirus-calamity,1,"May 29, 2020"
The Fragile Existence of Sex Workers During the Pandemic,https://www.newyorker.com//news/news-desk/the-fragile-existence-of-sex-workers-during-the-pandemic,1,"May 21, 2020"
A New Way to Listen to The New Yorker,https://www.newyorker.com//news/news-desk/a-new-way-to-listen-to-the-new-yorker,1,"May 20, 2020"
What African Nations Are Teaching the West About Fighting the Coronavirus,https://www.newyorker.com//news/news-desk/what-african-nations-are-teaching-the-west-about-fighting-the-coronavirus,1,"May 15, 2020"
How Much Testing Does the U.S. Need to Reopen?,https://www.newyorker.com//news/news-desk/how-much-coronavirus-testing-does-the-united-states-need-to-reopen,1,"May 14, 2020"
The Joys of Korean Baseball and the Risks of Bringing Back Sports,https://www.newyorker.com//sports/sporting-scene/the-joys-of-korean-baseball-and-the-risks-of-bringing-back-sports,1,"May 12, 2020"
Cage-Fighting During a Pandemic: Is This the Future of Sports?,https://www.newyorker.com//sports/sporting-scene/cage-fighting-during-a-pandemic-is-this-the-future-of-sports,1,"May 11, 2020"
The U.S. Soccer Team Is Still Fighting for Equal Treatment,https://www.newyorker.com//sports/sporting-scene/the-us-soccer-team-is-still-fighting-for-equal-treatment,1,"May 4, 2020"
The New Yorker’s Ben Taub and Barry Blitt Win Pulitzer Prizes,https://www.newyorker.com//news/news-desk/the-new-yorkers-ben-taub-and-barry-blitt-win-pulitzer-prizes,1,"May 4, 2020"
"A Surprisingly Poignant N.F.L. Draft, Live from Various Basements",https://www.newyorker.com//sports/sporting-scene/a-surprisingly-poignant-nfl-draft-live-from-various-basements,1,"April 24, 2020"
Chicago Plans for a Slow Recovery from the Coronavirus,https://www.newyorker.com//news/news-desk/chicago-plans-for-a-slow-recovery-from-the-coronavirus,1,"April 22, 2020"
Why Psychiatric Wards Are Uniquely Vulnerable to the Coronavirus,https://www.newyorker.com//news/news-desk/why-psychiatric-wards-are-uniquely-vulnerable-to-the-coronavirus,1,"April 21, 2020"
“Some Days I Feel Like I’m Melting”: How Single Mothers in New York City Are Coping with Quarantine,https://www.newyorker.com//news/news-desk/some-days-i-feel-like-im-melting-how-single-mothers-in-new-york-city-are-coping-with-quarantine,1,"April 21, 2020"
“The Last Dance” Shows a Michael Jordan You May Know and a Scottie Pippen You Probably Don’t,https://www.newyorker.com//sports/sporting-scene/the-last-dance-shows-a-michael-jordan-you-may-know-and-a-scottie-pippen-you-probably-dont,1,"April 20, 2020"
What It Means to Miss Marathon Day in Boston,https://www.newyorker.com//sports/sporting-scene/what-it-means-to-miss-marathon-day-in-boston,1,"April 18, 2020"
"Studying Fascist Propaganda by Day, Watching Trump’s Coronavirus Updates by Night",https://www.newyorker.com//news/news-desk/studying-fascist-propaganda-by-day-watching-trumps-coronavirus-updates-by-night,1,"April 17, 2020"
How Spain’s Coronavirus-Infection Rate Became One of the World’s Highest,https://www.newyorker.com//news/news-desk/from-the-streets-to-the-nursing-homes-how-spains-coronavirus-infection-rate-became-one-of-the-worlds-highest,1,"April 16, 2020"
"Turning a Tennis Stadium Into a Hospital, and Thinking About What Sports Can Do Now",https://www.newyorker.com//sports/sporting-scene/turning-a-tennis-stadium-into-a-hospital-and-thinking-about-what-sports-can-do-now,1,"April 16, 2020"
The Federalist as “Medical Journal” in the Time of the Coronavirus,https://www.newyorker.com//news/news-desk/the-federalist-as-medical-journal-in-the-time-of-the-coronavirus,1,"April 12, 2020"
The Purgatory of Parole Incarcerations During the Coronavirus Crisis,https://www.newyorker.com//news/news-desk/the-purgatory-of-parole-incarcerations-during-the-coronavirus-crisis,1,"April 11, 2020"
Preparing Prisons for Passover in a Plague Year,https://www.newyorker.com//news/news-desk/preparing-prisons-for-passover-in-a-plague-year,1,"April 8, 2020"
“A Disembodied Voice”: The Loneliness and Solidarity of Treating the Coronavirus in New York,https://www.newyorker.com//science/medical-dispatch/a-disembodied-voice-the-loneliness-and-solidarity-of-treating-the-coronavirus-in-new-york,1,"April 8, 2020"
Inequality Intensifies the Coronavirus Crisis in Detroit,https://www.newyorker.com//news/news-desk/the-coronavirus-and-inequality-meet-in-detroit,1,"April 7, 2020"
How Mississippi’s Governor Undermined Efforts to Contain the Coronavirus,https://www.newyorker.com//news/news-desk/how-mississippis-governor-undermined-efforts-to-contain-the-coronavirus,1,"April 7, 2020"
Watching ESPN During the Coronavirus Lockdown,https://www.newyorker.com//sports/sporting-scene/watching-espn-during-the-coronavirus-lockdown,1,"April 4, 2020"
What the Coronavirus Is Doing to Rural Georgia,https://www.newyorker.com//news/news-desk/what-the-coronavirus-is-doing-to-rural-georgia,1,"April 4, 2020"
Why an Idaho Ski Destination Has One of the Highest COVID-19 Infection Rates in the Nation,https://www.newyorker.com//news/news-desk/why-an-idaho-ski-destination-has-one-of-the-highest-covid-19-rates-in-the-nation,1,"April 3, 2020"
The Doubled Fears of the Undocumented During the Coronavirus Shutdown,https://www.newyorker.com//news/news-desk/the-doubled-fears-of-the-undocumented-during-the-coronavirus-shutdown,1,"March 31, 2020"
Can Survivors of the Coronavirus Help Cure the Disease and Rescue the Economy?,https://www.newyorker.com//news/news-desk/can-survivors-of-the-coronavirus-help-cure-the-disease-and-rescue-the-economy,1,"March 30, 2020"
Trump’s Dangerous Messaging About a Possible Coronavirus Treatment,https://www.newyorker.com//news/news-desk/donald-trumps-dangerous-messaging-about-a-possible-coronavirus-treatment,1,"March 27, 2020"
The Chess World Finally Pauses for the Coronavirus,https://www.newyorker.com//sports/sporting-scene/the-chess-world-finally-pauses-for-the-coronavirus,1,"March 26, 2020"
How Doctors Live with the Risks of the Coronavirus,https://www.newyorker.com//news/news-desk/how-doctors-live-with-the-risks-of-the-coronavirus,1,"March 25, 2020"
Why Widespread Coronavirus Testing Isn’t Coming Anytime Soon,https://www.newyorker.com//news/news-desk/why-widespread-coronavirus-testing-isnt-coming-anytime-soon,1,"March 24, 2020"
“It Spreads Like Wildfire”: The Coronavirus Comes to New York’s Prisons,https://www.newyorker.com//news/news-desk/it-spreads-like-wildfire-covid-19-comes-to-new-yorks-prisons,1,"March 24, 2020"
COVID-19 Is a Threat to the 2020 Games. The I.O.C. Is a Threat to the Olympic Project,https://www.newyorker.com//sports/sporting-scene/covid-19-is-a-threat-to-the-2020-games-the-ioc-is-a-threat-to-the-olympic-project,1,"March 23, 2020"
Keeping the Coronavirus from Infecting Health-Care Workers,https://www.newyorker.com//news/news-desk/keeping-the-coronavirus-from-infecting-health-care-workers,1,"March 21, 2020"
A Rikers Island Doctor Speaks Out to Save Her Elderly Patients from the Coronavirus,https://www.newyorker.com//news/news-desk/a-rikers-island-doctor-speaks-out-to-save-her-elderly-patients-from-the-coronavirus,1,"March 19, 2020"
The Coming Coronavirus Critical-Care Emergency,https://www.newyorker.com//news/news-desk/the-coming-coronavirus-critical-care-emergency,1,"March 18, 2020"
When Tom Brady Said Goodbye to New England,https://www.newyorker.com//sports/sporting-scene/when-tom-brady-said-goodbye-to-new-england,1,"March 17, 2020"
The Diary of a Grand Princess Crew Member as the Coronavirus Spread on the Ship,https://www.newyorker.com//news/news-desk/the-diary-of-a-grand-princess-crew-member-as-covid-19-spread-on-the-ship,1,"March 17, 2020"
What Went Wrong with Coronavirus Testing in the U.S.,https://www.newyorker.com//news/news-desk/what-went-wrong-with-coronavirus-testing-in-the-us,1,"March 16, 2020"
